cell_type,coarse_label
B cell,B cell
"CD14-low, CD16-positive monocyte","CD14-low, CD16-positive monocyte"
CD14-positive monocyte,CD14-positive monocyte
CD141-positive myeloid dendritic cell,CD141-positive myeloid dendritic cell
"CD16-negative, CD56-bright natural killer cell, human","CD16-negative, CD56-bright natural killer cell, human"
"CD16-positive, CD56-dim natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human"
CD1c-positive myeloid dendritic cell,CD1c-positive myeloid dendritic cell
"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta T cell"
"CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta cytotoxic T cell"
"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell"
"CD8-positive, alpha-beta cytotoxic T cell","CD8-positive, alpha-beta cytotoxic T cell"
"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell"
T cell,T cell
"central memory CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell"
double negative T regulatory cell,double negative T regulatory cell
"effector memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell"
gamma-delta T cell,gamma-delta T cell
hematopoietic stem cell,hematopoietic stem cell
innate lymphoid cell,innate lymphoid cell
mature B cell,mature B cell
memory B cell,memory B cell
mucosal invariant T cell,mucosal invariant T cell
myeloid cell,myeloid cell
naive B cell,naive B cell
"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell"
"naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
natural killer cell,natural killer cell
plasma cell,plasma cell
plasmacytoid dendritic cell,plasmacytoid dendritic cell
platelet,platelet
pre-conventional dendritic cell,pre-conventional dendritic cell
regulatory T cell,regulatory T cell
